	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
11	  ( 50 13 )	  ( 50 14 )	  ( 50 14 )	  ( 33 21 ) ( 28 18 )	  ( 50 2 )	  ( 50 14 )	  ( 50 17 )	  ( 33 19 )	  ( 22 17 ) ( 40 18 )	  ( 25 13 ) ( 50 24 ) ( 28 23 ) ( 20 12 ) ( 14 11 )	  ( 50 17 )	  ( 2147483647 0 )	  ( 50 1 )	  ( 50 13 )	  ( 20 7 ) ( 25 8 ) ( 50 19 )	  ( 25 11 ) ( 50 22 ) ( 40 16 ) ( 20 10 )	  ( 50 12 )	  ( 33 22 )	  ( 33 29 ) ( 20 25 ) ( 28 26 )	  ( 50 11 )	  ( 33 21 )	  ( 50 14 )	  ( 33 19 )	  ( 50 20 )	  ( 50 17 )	  ( 20 7 ) ( 25 8 ) ( 50 19 )	  ( 20 7 ) ( 33 18 ) ( 50 19 ) ( 25 8 )	  ( 50 6 )	  ( 25 12 ) ( 50 13 )	  ( 50 16 )	  ( 20 7 ) ( 50 20 ) ( 33 18 ) ( 25 8 )	  ( 20 12 ) ( 25 13 ) ( 40 16 )	  ( 25 7 ) ( 50 17 )	  ( 50 2 )	  ( 40 17 )	  ( 28 16 ) ( 25 12 ) ( 20 11 ) ( 50 23 ) ( 40 17 )	  ( 33 24 )	  ( 25 12 ) ( 28 22 ) ( 50 23 ) ( 20 11 )	  ( 20 11 ) ( 25 12 ) ( 40 17 )	  ( 20 11 ) ( 40 16 ) ( 25 12 )	  ( 50 14 )	  ( 20 7 ) ( 50 20 ) ( 33 18 ) ( 25 8 )	  ( 50 1 )	  ( 50 12 )	  ( 20 7 ) ( 25 8 ) ( 50 19 )	  ( 20 6 ) ( 25 7 ) ( 50 18 )	  ( 50 12 )	  ( 20 7 ) ( 25 8 ) ( 50 19 )	  ( 20 11 ) ( 25 12 ) ( 40 16 )	  ( 25 12 ) ( 40 15 ) ( 20 11 )
12	  ( 50 12 )	  ( 50 14 )	  ( 33 13 ) ( 50 14 )	  ( 33 21 ) ( 28 18 ) ( 20 17 )	  ( 50 1 )	  ( 33 13 ) ( 50 14 )	  ( 50 17 )	  ( 33 19 )	  ( 22 17 ) ( 40 18 )	  ( 14 10 ) ( 25 13 ) ( 50 24 ) ( 20 11 ) ( 28 23 )	  ( 50 17 )	  ( 50 1 )	  ( 2147483647 0 )	  ( 50 13 )	  ( 20 6 ) ( 25 8 ) ( 50 19 )	  ( 25 11 ) ( 20 9 ) ( 50 22 ) ( 40 16 )	  ( 50 12 )	  ( 33 22 )	  ( 33 29 ) ( 20 25 ) ( 28 26 )	  ( 50 11 )	  ( 33 21 )	  ( 50 13 )	  ( 33 19 )	  ( 50 20 )	  ( 50 17 )	  ( 20 6 ) ( 25 8 ) ( 50 19 )	  ( 20 6 ) ( 33 18 ) ( 50 19 ) ( 25 8 )	  ( 50 6 )	  ( 25 12 ) ( 50 13 )	  ( 50 16 )	  ( 20 6 ) ( 50 20 ) ( 33 18 ) ( 25 8 )	  ( 20 11 ) ( 25 13 ) ( 40 16 )	  ( 20 6 ) ( 25 7 ) ( 50 17 )	  ( 50 2 )	  ( 40 17 ) ( 20 16 )	  ( 20 10 ) ( 28 16 ) ( 25 12 ) ( 50 23 ) ( 40 17 )	  ( 33 24 )	  ( 20 10 ) ( 25 12 ) ( 28 22 ) ( 50 23 )	  ( 20 10 ) ( 25 12 ) ( 40 17 )	  ( 20 10 ) ( 40 16 ) ( 25 12 )	  ( 50 13 )	  ( 20 6 ) ( 50 20 ) ( 33 18 ) ( 25 8 )	  ( 50 1 )	  ( 50 12 )	  ( 20 6 ) ( 25 8 ) ( 50 19 )	  ( 20 5 ) ( 25 7 ) ( 50 18 )	  ( 20 11 ) ( 50 12 )	  ( 20 6 ) ( 25 8 ) ( 50 19 )	  ( 20 10 ) ( 25 12 ) ( 40 16 )	  ( 20 10 ) ( 25 12 ) ( 40 15 )
13	  ( 50 1 )	  ( 50 1 )	  ( 50 1 )	  ( 33 32 ) ( 28 29 )	  ( 50 13 )	  ( 50 1 )	  ( 50 28 )	  ( 33 30 )	  ( 22 28 ) ( 40 29 )	  ( 25 24 ) ( 50 35 ) ( 28 34 ) ( 14 23 )	  ( 50 16 )	  ( 50 13 )	  ( 50 13 )	  ( 2147483647 0 )	  ( 25 19 ) ( 50 30 )	  ( 50 33 ) ( 25 22 ) ( 40 27 )	  ( 50 23 )	  ( 33 33 )	  ( 33 40 ) ( 20 36 ) ( 28 37 )	  ( 50 22 )	  ( 33 32 )	  ( 50 1 )	  ( 33 30 )	  ( 50 31 )	  ( 50 28 )	  ( 25 19 ) ( 50 30 )	  ( 33 29 ) ( 50 30 ) ( 25 19 )	  ( 50 17 )	  ( 25 23 ) ( 50 24 )	  ( 50 27 )	  ( 50 31 ) ( 33 29 ) ( 25 19 )	  ( 25 24 ) ( 40 27 )	  ( 25 18 ) ( 50 28 )	  ( 50 13 )	  ( 40 28 )	  ( 28 27 ) ( 25 23 ) ( 50 34 ) ( 40 28 )	  ( 33 35 )	  ( 25 23 ) ( 28 33 ) ( 50 34 )	  ( 25 23 ) ( 40 28 )	  ( 40 27 ) ( 25 23 )	  ( 50 1 )	  ( 50 31 ) ( 33 29 ) ( 25 19 )	  ( 50 12 )	  ( 50 23 )	  ( 25 19 ) ( 50 30 )	  ( 25 18 ) ( 50 29 )	  ( 50 23 )	  ( 25 19 ) ( 50 30 )	  ( 25 23 ) ( 40 27 )	  ( 25 23 ) ( 40 26 )
14	  ( 20 18 ) ( 25 20 ) ( 50 31 )	  ( 25 20 ) ( 50 31 )	  ( 20 19 ) ( 25 20 ) ( 50 31 )	  ( 28 13 ) ( 33 18 )	  ( 20 7 ) ( 50 19 ) ( 25 8 )	  ( 20 19 ) ( 25 20 ) ( 50 31 )	  ( 25 13 ) ( 50 14 )	  ( 33 16 ) ( 28 15 )	  ( 40 13 )	  ( 14 4 ) ( 50 7 )	  ( 25 23 ) ( 50 34 )	  ( 20 7 ) ( 25 8 ) ( 50 19 )	  ( 20 6 ) ( 25 8 ) ( 50 19 )	  ( 25 19 ) ( 50 30 )	  ( 2147483647 0 )	  ( 50 5 )	  ( 50 9 ) ( 25 8 )	  ( 28 18 ) ( 33 19 )	  ( 28 21 ) ( 33 26 )	  ( 50 8 ) ( 25 7 )	  ( 33 18 ) ( 28 17 )	  ( 20 19 ) ( 50 31 ) ( 25 20 )	  ( 33 16 ) ( 28 15 )	  ( 50 17 ) ( 28 16 )	  ( 28 13 ) ( 50 14 )	  ( 50 1 )	  ( 50 2 )	  ( 25 2 ) ( 50 13 )	  ( 50 8 )	  ( 25 12 ) ( 50 13 )	  ( 50 2 )	  ( 40 7 )	  ( 50 2 )	  ( 25 8 ) ( 50 19 )	  ( 40 12 )	  ( 50 6 )	  ( 28 20 ) ( 33 21 )	  ( 14 5 ) ( 50 6 )	  ( 40 6 )	  ( 28 6 ) ( 40 7 )	  ( 20 19 ) ( 25 20 ) ( 50 31 )	  ( 50 2 )	  ( 25 7 ) ( 50 18 )	  ( 50 9 ) ( 25 8 )	  ( 50 2 )	  ( 50 1 )	  ( 50 7 )	  ( 50 1 )	  ( 40 6 )	  ( 40 6 )
15	  ( 20 21 ) ( 25 23 ) ( 50 34 ) ( 40 28 )	  ( 25 23 ) ( 50 34 ) ( 40 28 )	  ( 20 22 ) ( 25 23 ) ( 50 34 ) ( 40 28 )	  ( 28 10 ) ( 33 15 )	  ( 20 10 ) ( 25 11 ) ( 50 22 ) ( 40 16 )	  ( 20 22 ) ( 25 23 ) ( 50 34 ) ( 40 28 )	  ( 50 17 ) ( 40 11 )	  ( 33 13 ) ( 28 12 )	  ( 40 10 )	  ( 50 8 )	  ( 25 26 ) ( 50 37 ) ( 40 31 )	  ( 20 10 ) ( 25 11 ) ( 40 16 ) ( 50 22 )	  ( 25 11 ) ( 20 9 ) ( 50 22 ) ( 40 16 )	  ( 50 33 ) ( 25 22 ) ( 40 27 )	  ( 50 5 )	  ( 2147483647 0 )	  ( 25 5 ) ( 40 6 ) ( 50 12 )	  ( 28 15 ) ( 33 16 )	  ( 28 18 ) ( 33 23 )	  ( 50 11 ) ( 40 5 )	  ( 33 15 ) ( 28 14 )	  ( 50 34 ) ( 20 22 ) ( 25 23 ) ( 40 28 )	  ( 33 13 ) ( 28 12 )	  ( 50 20 ) ( 40 14 ) ( 28 13 )	  ( 28 10 ) ( 40 11 ) ( 50 17 )	  ( 50 5 )	  ( 50 5 )	  ( 25 5 ) ( 50 16 ) ( 40 10 )	  ( 40 5 ) ( 50 11 )	  ( 50 16 ) ( 40 10 )	  ( 33 5 ) ( 50 6 )	  ( 40 2 )	  ( 50 5 )	  ( 25 11 ) ( 50 22 ) ( 40 16 )	  ( 40 9 )	  ( 50 1 )	  ( 28 17 ) ( 33 18 )	  ( 50 7 )	  ( 40 1 )	  ( 28 1 ) ( 40 2 )	  ( 20 22 ) ( 25 23 ) ( 50 34 ) ( 40 28 )	  ( 33 5 ) ( 50 6 )	  ( 25 10 ) ( 50 21 ) ( 40 15 )	  ( 25 5 ) ( 40 6 ) ( 50 12 )	  ( 50 5 )	  ( 50 4 )	  ( 40 4 ) ( 50 10 )	  ( 50 5 )	  ( 40 1 )	  ( 40 1 )
16	  ( 50 24 )	  ( 50 24 )	  ( 50 24 )	  ( 33 11 ) ( 28 8 ) ( 25 7 )	  ( 50 12 )	  ( 50 24 )	  ( 50 7 )	  ( 33 9 )	  ( 40 8 ) ( 25 7 )	  ( 25 12 ) ( 50 14 ) ( 28 13 )	  ( 50 27 )	  ( 50 12 )	  ( 50 12 )	  ( 50 23 )	  ( 50 9 ) ( 25 8 )	  ( 25 5 ) ( 50 12 ) ( 40 6 )	  ( 2147483647 0 )	  ( 33 12 )	  ( 28 16 ) ( 33 19 ) ( 25 15 )	  ( 50 1 )	  ( 33 11 )	  ( 50 24 )	  ( 33 9 )	  ( 50 10 )	  ( 50 7 )	  ( 50 9 ) ( 25 7 )	  ( 33 8 ) ( 25 7 ) ( 50 9 )	  ( 50 6 )	  ( 25 2 ) ( 50 3 )	  ( 50 6 )	  ( 33 8 ) ( 50 10 ) ( 25 7 )	  ( 25 5 ) ( 40 6 )	  ( 50 7 ) ( 25 6 )	  ( 50 12 )	  ( 25 6 ) ( 40 7 )	  ( 25 5 ) ( 50 13 ) ( 28 6 ) ( 40 7 )	  ( 33 14 )	  ( 25 11 ) ( 50 13 ) ( 28 12 )	  ( 25 5 ) ( 40 7 )	  ( 25 5 ) ( 40 6 )	  ( 50 24 )	  ( 33 8 ) ( 50 10 ) ( 25 7 )	  ( 50 11 )	  ( 50 2 )	  ( 50 9 ) ( 25 8 )	  ( 50 8 ) ( 25 7 )	  ( 25 1 ) ( 50 2 )	  ( 25 7 ) ( 50 9 )	  ( 25 5 ) ( 40 6 )	  ( 25 4 ) ( 40 5 )
17	  ( 33 34 )	  ( 33 34 )	  ( 33 34 )	  ( 50 5 )	  ( 33 22 )	  ( 33 34 )	  ( 33 5 )	  ( 50 7 )	  ( 33 8 ) ( 28 7 )	  ( 33 24 ) ( 28 22 )	  ( 33 37 )	  ( 33 22 )	  ( 33 22 )	  ( 33 33 )	  ( 28 18 ) ( 33 19 )	  ( 33 16 ) ( 28 15 )	  ( 33 12 )	  ( 2147483647 0 )	  ( 50 13 )	  ( 33 11 )	  ( 50 9 )	  ( 33 34 )	  ( 50 7 )	  ( 33 8 )	  ( 33 7 )	  ( 25 17 ) ( 28 18 ) ( 33 19 )	  ( 28 17 ) ( 33 18 )	  ( 33 16 )	  ( 33 13 ) ( 28 12 )	  ( 33 6 )	  ( 28 17 ) ( 33 18 )	  ( 28 15 ) ( 33 16 )	  ( 28 16 ) ( 33 17 )	  ( 33 22 )	  ( 28 6 ) ( 33 7 )	  ( 28 15 ) ( 33 17 )	  ( 50 12 )	  ( 28 21 ) ( 33 23 )	  ( 25 15 ) ( 28 16 ) ( 33 17 )	  ( 33 16 ) ( 28 15 )	  ( 33 34 )	  ( 28 17 ) ( 33 18 )	  ( 33 21 )	  ( 33 12 )	  ( 28 18 ) ( 33 19 )	  ( 33 18 ) ( 28 17 )	  ( 28 11 ) ( 33 12 )	  ( 25 17 ) ( 28 18 ) ( 33 19 )	  ( 28 15 ) ( 33 16 )	  ( 33 15 ) ( 28 14 )
18	  ( 20 37 ) ( 28 38 ) ( 33 41 )	  ( 20 37 ) ( 33 41 ) ( 28 38 )	  ( 20 37 ) ( 33 41 ) ( 28 38 )	  ( 50 8 )	  ( 28 26 ) ( 33 29 ) ( 20 25 )	  ( 28 38 ) ( 33 41 ) ( 20 37 )	  ( 33 12 ) ( 20 8 ) ( 28 11 )	  ( 50 10 )	  ( 33 15 ) ( 28 10 )	  ( 28 25 ) ( 33 31 )	  ( 20 40 ) ( 28 41 ) ( 33 44 )	  ( 20 25 ) ( 28 26 ) ( 33 29 )	  ( 28 26 ) ( 33 29 ) ( 20 25 )	  ( 20 36 ) ( 33 40 ) ( 28 37 )	  ( 28 21 ) ( 33 26 )	  ( 33 23 ) ( 28 18 )	  ( 25 15 ) ( 28 16 ) ( 33 19 )	  ( 50 13 )	  ( 2147483647 0 )	  ( 28 15 ) ( 20 14 ) ( 33 18 )	  ( 50 12 )	  ( 28 38 ) ( 33 41 ) ( 20 37 )	  ( 50 10 )	  ( 33 11 )	  ( 33 14 ) ( 28 10 )	  ( 25 20 ) ( 28 21 ) ( 33 26 )	  ( 28 20 ) ( 33 25 )	  ( 20 19 ) ( 28 20 ) ( 33 23 )	  ( 28 15 ) ( 33 20 )	  ( 20 9 ) ( 28 10 ) ( 33 13 )	  ( 28 20 ) ( 33 25 )	  ( 33 23 ) ( 28 18 )	  ( 28 19 ) ( 33 24 )	  ( 28 26 ) ( 33 29 ) ( 20 25 )	  ( 28 9 ) ( 33 14 )	  ( 28 18 ) ( 33 24 )	  ( 50 15 )	  ( 33 30 ) ( 28 24 )	  ( 25 18 ) ( 28 19 ) ( 33 24 )	  ( 28 18 ) ( 33 23 )	  ( 20 37 ) ( 28 38 ) ( 33 41 )	  ( 28 20 ) ( 33 25 )	  ( 33 28 ) ( 28 25 ) ( 20 24 )	  ( 25 15 ) ( 28 16 ) ( 33 19 )	  ( 28 21 ) ( 33 26 )	  ( 28 20 ) ( 33 25 )	  ( 28 14 ) ( 33 19 )	  ( 28 21 ) ( 25 20 ) ( 33 26 )	  ( 28 18 ) ( 33 23 )	  ( 33 22 ) ( 28 17 )
19	  ( 50 23 )	  ( 50 23 )	  ( 50 23 )	  ( 33 10 ) ( 28 7 )	  ( 50 11 )	  ( 50 23 )	  ( 50 6 )	  ( 33 8 )	  ( 22 6 ) ( 40 7 )	  ( 50 13 ) ( 28 12 ) ( 14 11 )	  ( 50 26 )	  ( 50 11 )	  ( 50 11 )	  ( 50 22 )	  ( 50 8 ) ( 25 7 )	  ( 50 11 ) ( 40 5 )	  ( 50 1 )	  ( 33 11 )	  ( 33 18 ) ( 20 14 ) ( 28 15 )	  ( 2147483647 0 )	  ( 33 10 )	  ( 50 23 )	  ( 33 8 )	  ( 50 9 )	  ( 50 6 )	  ( 50 8 ) ( 25 7 )	  ( 33 7 ) ( 50 8 )	  ( 50 5 )	  ( 25 1 ) ( 50 2 )	  ( 50 5 )	  ( 33 7 ) ( 50 9 )	  ( 40 5 )	  ( 50 6 )	  ( 50 11 )	  ( 40 6 )	  ( 28 5 ) ( 50 12 ) ( 40 6 )	  ( 33 13 )	  ( 50 12 ) ( 28 11 )	  ( 25 5 ) ( 40 6 )	  ( 40 5 )	  ( 50 23 )	  ( 33 7 ) ( 50 9 )	  ( 50 10 )	  ( 50 1 )	  ( 50 8 ) ( 25 7 )	  ( 25 6 ) ( 50 7 )	  ( 50 1 )	  ( 50 8 ) ( 25 7 )	  ( 40 5 )	  ( 40 4 )
20	  ( 33 33 )	  ( 33 33 )	  ( 33 33 )	  ( 50 4 )	  ( 33 21 )	  ( 33 33 )	  ( 33 4 )	  ( 50 6 )	  ( 28 6 ) ( 33 7 )	  ( 33 23 ) ( 28 21 )	  ( 33 36 )	  ( 33 21 )	  ( 33 21 )	  ( 33 32 )	  ( 33 18 ) ( 28 17 )	  ( 28 14 ) ( 33 15 )	  ( 33 11 )	  ( 50 9 )	  ( 50 12 )	  ( 33 10 )	  ( 2147483647 0 )	  ( 33 33 )	  ( 50 6 )	  ( 33 7 )	  ( 33 6 )	  ( 28 17 ) ( 25 16 ) ( 33 18 )	  ( 28 16 ) ( 33 17 )	  ( 33 15 )	  ( 33 12 ) ( 28 11 )	  ( 33 5 )	  ( 28 16 ) ( 33 17 )	  ( 33 15 ) ( 28 14 )	  ( 28 15 ) ( 33 16 )	  ( 33 21 )	  ( 28 5 ) ( 33 6 )	  ( 28 14 ) ( 33 16 )	  ( 50 11 )	  ( 33 22 ) ( 28 20 )	  ( 25 14 ) ( 28 15 ) ( 33 16 )	  ( 33 15 ) ( 28 14 )	  ( 33 33 )	  ( 33 17 ) ( 28 16 )	  ( 33 20 )	  ( 33 11 )	  ( 28 17 ) ( 33 18 )	  ( 28 16 ) ( 33 17 )	  ( 28 10 ) ( 33 11 )	  ( 28 17 ) ( 33 18 ) ( 25 16 )	  ( 33 15 ) ( 28 14 )	  ( 33 14 ) ( 28 13 )
21	  ( 50 1 )	  ( 50 2 )	  ( 50 2 )	  ( 33 33 ) ( 28 30 )	  ( 50 14 )	  ( 50 2 )	  ( 50 29 )	  ( 33 31 )	  ( 22 29 ) ( 40 30 )	  ( 50 36 ) ( 25 25 ) ( 28 35 ) ( 14 23 ) ( 20 24 )	  ( 50 17 )	  ( 50 14 )	  ( 50 13 )	  ( 50 1 )	  ( 20 19 ) ( 25 20 ) ( 50 31 )	  ( 50 34 ) ( 40 28 ) ( 25 23 ) ( 20 22 )	  ( 50 24 )	  ( 33 34 )	  ( 33 41 ) ( 20 37 ) ( 28 38 )	  ( 50 23 )	  ( 33 33 )	  ( 2147483647 0 )	  ( 33 31 )	  ( 50 32 )	  ( 50 29 )	  ( 25 20 ) ( 50 31 ) ( 20 19 )	  ( 33 30 ) ( 50 31 ) ( 25 20 ) ( 20 19 )	  ( 50 18 )	  ( 25 24 ) ( 50 25 )	  ( 50 28 )	  ( 20 19 ) ( 50 32 ) ( 33 30 ) ( 25 20 )	  ( 20 24 ) ( 25 25 ) ( 40 28 )	  ( 25 19 ) ( 50 29 )	  ( 50 14 )	  ( 40 29 )	  ( 28 28 ) ( 25 24 ) ( 50 35 ) ( 20 23 ) ( 40 29 )	  ( 33 36 )	  ( 20 23 ) ( 25 24 ) ( 50 35 ) ( 28 34 )	  ( 25 24 ) ( 20 23 ) ( 40 29 )	  ( 20 23 ) ( 40 28 ) ( 25 24 )	  ( 50 2 )	  ( 50 32 ) ( 33 30 ) ( 25 20 ) ( 20 19 )	  ( 50 13 )	  ( 50 24 )	  ( 20 19 ) ( 25 20 ) ( 50 31 )	  ( 20 18 ) ( 25 19 ) ( 50 30 )	  ( 50 24 )	  ( 20 19 ) ( 25 20 ) ( 50 31 )	  ( 20 23 ) ( 25 24 ) ( 40 28 )	  ( 20 23 ) ( 25 24 ) ( 40 27 )
22	  ( 33 31 )	  ( 33 31 )	  ( 33 31 )	  ( 50 2 )	  ( 33 19 )	  ( 33 31 )	  ( 33 2 )	  ( 50 4 )	  ( 28 4 ) ( 33 5 )	  ( 28 19 ) ( 33 21 )	  ( 33 34 )	  ( 33 19 )	  ( 33 19 )	  ( 33 30 )	  ( 28 15 ) ( 33 16 )	  ( 33 13 ) ( 28 12 )	  ( 33 9 )	  ( 50 7 )	  ( 50 10 )	  ( 33 8 )	  ( 50 6 )	  ( 33 31 )	  ( 2147483647 0 )	  ( 33 5 )	  ( 33 4 )	  ( 25 14 ) ( 28 15 ) ( 33 16 )	  ( 28 14 ) ( 33 15 )	  ( 33 13 )	  ( 33 10 ) ( 28 9 )	  ( 33 3 )	  ( 33 15 ) ( 28 14 )	  ( 33 13 ) ( 28 12 )	  ( 28 13 ) ( 33 14 )	  ( 33 19 )	  ( 28 3 ) ( 33 4 )	  ( 33 14 ) ( 28 12 )	  ( 50 9 )	  ( 28 18 ) ( 33 20 )	  ( 28 13 ) ( 25 12 ) ( 33 14 )	  ( 28 12 ) ( 33 13 )	  ( 33 31 )	  ( 28 14 ) ( 33 15 )	  ( 33 18 )	  ( 33 9 )	  ( 28 15 ) ( 33 16 )	  ( 28 14 ) ( 33 15 )	  ( 28 8 ) ( 33 9 )	  ( 25 14 ) ( 28 15 ) ( 33 16 )	  ( 33 13 ) ( 28 12 )	  ( 33 12 ) ( 28 11 )
23	  ( 50 32 )	  ( 50 32 )	  ( 50 32 )	  ( 33 3 )	  ( 50 20 )	  ( 50 32 )	  ( 50 3 )	  ( 33 5 )	  ( 28 5 ) ( 40 6 )	  ( 28 20 ) ( 50 22 )	  ( 50 35 )	  ( 50 20 )	  ( 50 20 )	  ( 50 31 )	  ( 28 16 ) ( 50 17 )	  ( 50 20 ) ( 40 14 ) ( 28 13 )	  ( 50 10 )	  ( 33 8 )	  ( 33 11 )	  ( 50 9 )	  ( 33 7 )	  ( 50 32 )	  ( 33 5 )	  ( 2147483647 0 )	  ( 50 5 )	  ( 50 17 ) ( 25 15 ) ( 28 16 )	  ( 33 16 ) ( 50 17 ) ( 28 15 )	  ( 50 14 )	  ( 28 10 ) ( 50 11 )	  ( 50 4 )	  ( 50 18 ) ( 33 16 ) ( 28 15 )	  ( 40 14 ) ( 28 13 )	  ( 28 14 ) ( 50 15 )	  ( 50 20 )	  ( 28 4 ) ( 40 5 )	  ( 28 13 ) ( 40 15 ) ( 50 21 )	  ( 33 10 )	  ( 50 21 ) ( 28 19 )	  ( 28 14 ) ( 25 13 ) ( 40 15 )	  ( 40 14 ) ( 28 13 )	  ( 50 32 )	  ( 28 15 ) ( 33 16 ) ( 50 18 )	  ( 50 19 )	  ( 50 10 )	  ( 50 17 ) ( 28 16 )	  ( 28 15 ) ( 50 16 )	  ( 28 9 ) ( 50 10 )	  ( 28 16 ) ( 25 15 ) ( 50 17 )	  ( 28 13 ) ( 40 14 )	  ( 28 12 ) ( 40 13 )
24	  ( 50 29 )	  ( 50 29 )	  ( 50 29 )	  ( 28 2 ) ( 33 6 )	  ( 50 17 )	  ( 50 29 )	  ( 50 2 )	  ( 33 4 )	  ( 40 3 ) ( 28 2 )	  ( 50 19 ) ( 28 17 )	  ( 50 32 )	  ( 50 17 )	  ( 50 17 )	  ( 50 28 )	  ( 50 14 ) ( 28 13 )	  ( 28 10 ) ( 50 17 ) ( 40 11 )	  ( 50 7 )	  ( 33 7 )	  ( 33 14 ) ( 28 10 )	  ( 50 6 )	  ( 33 6 )	  ( 50 29 )	  ( 33 4 )	  ( 50 5 )	  ( 2147483647 0 )	  ( 50 14 ) ( 25 12 ) ( 28 13 )	  ( 33 13 ) ( 28 12 ) ( 50 14 )	  ( 50 11 )	  ( 28 7 ) ( 50 8 )	  ( 50 1 )	  ( 28 12 ) ( 50 15 ) ( 33 13 )	  ( 40 11 ) ( 28 10 )	  ( 28 11 ) ( 50 12 )	  ( 50 17 )	  ( 28 1 ) ( 40 2 )	  ( 40 12 ) ( 50 18 ) ( 28 10 )	  ( 33 9 )	  ( 28 16 ) ( 50 18 )	  ( 25 10 ) ( 40 12 ) ( 28 11 )	  ( 28 10 ) ( 40 11 )	  ( 50 29 )	  ( 33 13 ) ( 50 15 ) ( 28 12 )	  ( 50 16 )	  ( 50 7 )	  ( 28 13 ) ( 50 14 )	  ( 28 12 ) ( 50 13 )	  ( 28 6 ) ( 50 7 )	  ( 50 14 ) ( 28 13 ) ( 25 12 )	  ( 28 10 ) ( 40 11 )	  ( 40 10 ) ( 28 9 )
25	  ( 20 18 ) ( 50 31 ) ( 25 20 )	  ( 50 31 ) ( 25 20 )	  ( 20 19 ) ( 50 31 ) ( 25 20 )	  ( 28 13 ) ( 33 18 ) ( 25 12 )	  ( 20 7 ) ( 50 19 ) ( 25 8 )	  ( 20 19 ) ( 50 31 ) ( 25 20 )	  ( 25 13 ) ( 50 14 )	  ( 25 14 ) ( 33 16 ) ( 28 15 )	  ( 25 12 ) ( 40 13 )	  ( 14 5 ) ( 50 7 ) ( 25 6 )	  ( 25 23 ) ( 50 34 )	  ( 20 7 ) ( 50 19 ) ( 25 8 )	  ( 20 6 ) ( 50 19 ) ( 25 8 )	  ( 50 30 ) ( 25 19 )	  ( 50 1 )	  ( 50 5 )	  ( 25 7 ) ( 50 9 )	  ( 25 17 ) ( 28 18 ) ( 33 19 )	  ( 25 20 ) ( 28 21 ) ( 33 26 )	  ( 50 8 ) ( 25 7 )	  ( 25 16 ) ( 33 18 ) ( 28 17 )	  ( 20 19 ) ( 50 31 ) ( 25 20 )	  ( 25 14 ) ( 33 16 ) ( 28 15 )	  ( 25 15 ) ( 50 17 ) ( 28 16 )	  ( 50 14 ) ( 25 12 ) ( 28 13 )	  ( 2147483647 0 )	  ( 50 1 )	  ( 50 13 ) ( 25 2 )	  ( 50 8 ) ( 25 7 )	  ( 25 12 ) ( 50 13 )	  ( 50 1 )	  ( 40 7 )	  ( 25 1 ) ( 50 2 )	  ( 50 19 ) ( 25 8 )	  ( 25 11 ) ( 40 12 )	  ( 50 6 )	  ( 25 19 ) ( 28 20 ) ( 33 21 )	  ( 25 5 ) ( 50 6 )	  ( 40 6 )	  ( 28 6 ) ( 40 7 )	  ( 20 19 ) ( 50 31 ) ( 25 20 )	  ( 50 1 )	  ( 25 7 ) ( 50 18 )	  ( 25 7 ) ( 50 9 )	  ( 25 1 ) ( 50 2 )	  ( 50 1 )	  ( 25 6 ) ( 50 7 )	  ( 50 1 )	  ( 40 6 )	  ( 40 6 )
